STATION_SRC,STATION_DEST,NOTE
14 ST-FLM123,14 ST-123FLM,
14 ST-UNION SQ-LNQR456W,14 ST-UNION SQ-456LNQRW,
161/YANKEE STAD-BD4,161/YANKEE STAD-4BD,
168 ST-AC1,168 ST-1AC,
34 ST-PENN STA-123ACE,34 ST-PENN STA-123,"based on c/a and unit, turnstiles seem to be at 123"
42 ST-PORT AUTH-ACENGRS1237W,TIMES SQ-42 ST-1237ACENQRSW,
42 ST-PORT AUTH-ACENQRS1237W,TIMES SQ-42 ST-1237ACENQRSW,
4AV-9 ST-DFGMNR,4 AV-9 ST-DFGMNR,
5 AVE-7BDFM,42 ST-BRYANT PK-BDFM7,
59 ST-NQR456W,59 ST-456NQRW,
59 ST COLUMBUS-ABCD1,59 ST COLUMBUS-1ABCD,
6 AV-FLM123,14 ST-123FLM,
74 ST-BROADWAY-7EFMR,JKSN HT-ROOSVLT-EFMR7,
8 AV-ACEL,14 ST-ACEL,
ATL AV-BARCLAY-BDNQR2345,ATL AV-BARCLAY-2345BDNQR,
BOROUGH HALL-R2345,BOROUGH HALL-2345R,
BOTANIC GARDEN-S2345,FRANKLIN AV-2345S,
COURT SQ-23 ST-EMG,COURT SQ-EMG,
FULTON ST-ACJZ2345,FULTON ST-2345ACJZ,
GUN HILL RD-5,GUN HILL RD-25,
JFK JAMAICA CT1-E,JAMAICA CENTER-EJZ,
ORCHARD BEACH-6,PELHAM BAY PARK-6,"not a #6 station in station_map.csv or anywhere"
PATH WTC 2-1,PATH NEW WTC-1,
PELHAM PKWY-5,PELHAM PKWY-25,
TIMES SQ-42 ST-1237ACENQRS,TIMES SQ-42 ST-1237ACENQRSW,
TIMES SQ-42 ST-ACENQRS1237W,TIMES SQ-42 ST-1237ACENQRSW,
